Date;Activity;Plants;Note
11.04.2024;Watering;Nadja;no note
12.04.2024;Watering;Nadja;
13.04.2024;Watering;Nadja;
14.04.2024;Watering;Nadja;
18.04.2024;Watering;Nadja;
22.04.2024;Watering;Nadja;
24.04.2024;Watering;Nadja;
11.04.2024;Watering;Elvis;no note
16.04.2024;Fertilizing;Elvis;
22.04.2024;Watering;Elvis;
24.04.2024;Watering;Elvis;
05.05.2024;Watering;Elvis;
12.04.2024;Watering;Bob;
13.04.2024;Pruning;Bob;
22.04.2024;Watering;Bob;
22.04.2024;Repot;Bob;
24.04.2024;Watering;Bob;
12.04.2024;Watering;Kevin;
13.04.2024;Watering;Kevin;
13.04.2024;Added Autowaterer;Kevin;
16.04.2024;Fertilizing;Kevin;
12.04.2024;Watering;Beehome;
13.04.2024;Watering;Beehome;
14.04.2024;Watering;Beehome;
22.04.2024;Watering;Beehome;
12.04.2024;Watering;Jose;
18.04.2024;Watering;Jose;
22.04.2024;Watering;Jose;
24.04.2024;Watering;Jose;
12.04.2024;Watering;Peppa;
14.04.2024;Watering;Peppa;
18.04.2024;Watering;Peppa;
18.04.2024;Fertilizing;Peppa;
22.04.2024;Watering;Peppa;
24.04.2024;Watering;Peppa;
12.04.2024;Watering;Eva Longoria;
14.04.2024;Watering;Eva Longoria;
18.04.2024;Watering;Eva Longoria;
22.04.2024;Watering;Eva Longoria;
22.04.2024;Repot;Eva Longoria;
12.04.2024;Watering;Ollie;
14.04.2024;Watering;Ollie;
16.04.2024;Watering;Ollie;
16.04.2024;Fertilizing;Ollie;
22.04.2024;Watering;Ollie;
12.04.2024;Watering;Crowley;
13.04.2024;Watering;Crowley;
14.04.2024;Watering;Crowley;
16.04.2024;Watering;Crowley;
12.04.2024;Watering;Maria;
16.04.2024;Watering;Maria;
17.04.2024;Fertilizing;Maria;
18.04.2024;Watering;Maria;
19.04.2024;Watering;Maria;
24.04.2024;Watering;Maria;
05.05.2024;Watering;Maria;
13.04.2024;Watering;Liliana;
18.04.2024;Watering;Liliana;
22.04.2024;Watering;Liliana;
24.04.2024;Watering;Liliana;
13.04.2024;Watering;Rosy;
14.04.2024;Watering;Rosy;
17.04.2024;Watering;Rosy;Rainy day, outside plants are all wet
17.04.2024;Fertilizing;Rosy;
19.04.2024;Watering;Rosy;
22.04.2024;Watering;Rosy;
06.05.2024;Watering;Rosy;
13.04.2024;Watering;Martha;
18.04.2024;Watering;Martha;
19.04.2024;Watering;Martha;
22.04.2024;Watering;Martha;
13.04.2024;Watering;Perry;
14.04.2024;Watering;Perry;
16.04.2024;Watering;Perry;
14.04.2024;Watering;George;
14.04.2024;Watering;Lucy;
22.04.2024;Watering;Lucy;
22.04.2024;Repot;Lucy;
24.04.2024;Watering;Lucy;
14.04.2024;Watering;Stefan;
22.04.2024;Watering;Stefan;
22.04.2024;Repot;Stefan;
24.04.2024;Watering;Stefan;
14.04.2024;Watering;Lily;
16.04.2024;Fertilizing;Lily;
14.04.2024;Repot;Vera;Fell out of pot while moving
22.04.2024;Watering;Vera;
15.04.2024;Watering;Findus;
18.04.2024;Fertilizing;Findus;
22.04.2024;Watering;Findus;
24.04.2024;Watering;Findus;
16.04.2024;Watering;Bruno;
22.04.2024;Watering;Bruno;
24.04.2024;Watering;Bruno;
17.04.2024;Watering;Cerberus;Rainy day, outside plants are all wet
22.04.2024;Watering;Pepe;
22.04.2024;Watering;Flowey;
22.04.2024;Repot;Flowey;
02.05.2024;Repot;Flowey;
05.05.2024;Watering;Flowey;
22.04.2024;Watering;Sunny;
22.04.2024;Repot;Sunny;
02.05.2024;Repot;Sunny;
05.05.2024;Watering;Sunny;
22.04.2024;Watering;Brock;
22.04.2024;Repot;Brock;
22.04.2024;Watering;Kelly;
22.04.2024;Repot;Kelly;
02.05.2024;Repot;Kelly;
22.04.2024;Watering;Zack;
22.04.2024;Repot;Zack;
02.05.2024;Repot;Zack;
22.04.2024;Watering;Sandy;
22.04.2024;Repot;Sandy;
24.04.2024;Watering;Sandy;
22.04.2024;Watering;Palm;
22.04.2024;Repot;Zoey;
02.05.2024;Repot;Zoey;
24.04.2024;Watering;Tom;
24.04.2024;Watering;Jerry;
02.05.2024;Repot;Zou;
02.05.2024;Repot;Zim;
02.05.2024;Repot;Zane;
02.05.2024;Repot;Claire;
02.05.2024;Repot;Klaus;
02.05.2024;Repot;Chrom;
02.05.2024;Repot;Steve;
05.05.2024;Watering;Steve;
04.05.2024;Repot;Hella;
05.05.2024;Watering;Hella;
05.05.2024;Repot;Harvey;
05.05.2024;Watering;Harvey;
05.05.2024;Repot;Howard;
05.05.2024;Watering;Howard;
05.05.2024;Repot;Darryl;
05.05.2024;Watering;Darryl;
06.05.2024;Repot;Mike;
05.05.2024;Repot;Biggie;
06.05.2024;Repot;Harry;
06.05.2024;Watering;Harry;
06.05.2024;Watering;Rosy,Pepe;
07.05.2024;Watering;Tom,Jerry,Zack,Zim,Zoey,Zou,Klaus,Kelly,Chrom,Zane,Nadja,Lucy,Sandy,Stefan,Beehome,Perry,Bruno,Elvis;
07.05.2024;Watering;Carol,Carl,Pete,Terry,Bob;
07.05.2024;Watering;Liliana,Jose,Eva Longoria;
07.05.2024;Watering;Veronica,Valentina;
07.05.2024;Fertilizing;Maria;
07.05.2024;Watering;Ivan;
07.05.2024;Watering;Cerberus, Martha;
