Name;Species;Planted;Died;Reason
Asshole Cactus;Bunny Ear Cactus;01.01.2019;01.01.2024;Outside during frost
Anna;Pineapple;09.04.2024;16.04.2024;Did not root
Billy;Basil;08.04.2024;22.04.2024;Outside durign hail
Veronica;Aloe Vera;14.04.2024;11.05.2024;Did not grow roots (leaves from vera)
Zim;Zucchini;14.04.2024;12.05.2024;Died after repotting
Claire;Corn;14.04.2024;12.05.2024;Did not survive repotting
Pete;Beetroot;14.04.2024;14.05.2024;Did not survive repotting
Zack;Zucchini;14.04.2024;14.05.2024;Did not survive repotting
Vera;Aloe Vera;08.04.2024;19.05.2024;no root growth, possibly overwatering
Zou;Zucchini;14.04.2024;19.05.2024;Got stem damage during repotting, died from strong rain
Sunny;Sunflower;14.04.2024;21.05.2024;May Bugs
Flowey;Sunflower;14.04.2024;21.05.2024;May Bugs
Steve;Sunflower;14.04.2024;21.05.2024;May Bugs
Crowley;Garden Cress;08.04.2024;21.05.2024;May Bugs
Lily;Lavender;06.04.2024;12.05.2024;Unsure, probably either over- or underwatered
George;Round Leaf Peperomia;08.04.2024;28.05.2024;Unsure
Palm;Song Of India;01.01.2019;25.05.2024;Frost
Ebenezer;Beetroot;05.05.2024;25.06.2024;Burnder from the sun and dried out
Ben;Beetroot;05.05.2024;15.07.2024;Too hot
Carl;Carrot;08.04.2024;15.07.2024;Too hot
Carol;Carrot;08.04.2024;15.07.2024;Too hot
Ollie;Onion;09.04.2024;15.07.2024;Finished Flowering
Joan;Nerve Plant;22.05.2024;01.07.2024;Probably overwatered from Kaufland, but unsure
Hadewijch;Nerve Plant;22.05.2024;01.07.2024;Probably overwatered from Kaufland, but unsure
Jose;Devils Ivy;01.01.2019;05.07.2024;Overfertilized
Rob;White Mustard;18.05.2024;15.07.2024;End of Life
Harvey;Haworthia;04.05.2024;01.07.2024;Already dead when bought
Valentina;Aloe Vera;14.04.2024;24.07.2024;never rooted
Howard;Haworthia;04.05.2024;04.07.2024;got him already dead
Bob;Basil;06.04.2024;25.07.2024;Could not handle tomato roots I think
Perry;Pea;08.04.2024;31.07.2024;End of life
Bruno;Ramson;08.04.2024;31.07.2024;End of Life
Cyrus;Persian Cyclamen;06.07.2024;15.08.2024;Too little water, then too much sun
Nosferatu;Garlic;24.04.2024;03.08.2024;End of Life
Zoey;Zucchini;14.04.2024;20.08.2024;Didn't survive snails
Smaug;Dragon Scale;28.06.2024;05.09.2024;Root rot
