Date;Plant;Height;Width;Note
07.04.2024;Stefan;7.0;8.0;
07.04.2024;Stefan;7.0;8.0;
24.04.2024;Stefan;10.0;8.0;
03.05.2024;Stefan;11.0;11.0;
20.05.2024;Stefan;10.0;14.0;New stem is growing
04.06.2024;Stefan;15.0;20.0;
10.06.2024;Stefan;17.0;22.0;
14.06.2024;Stefan;18.0;21.0;
25.06.2024;Stefan;18.0;30.0;
03.07.2024;Stefan;22.0;30.0;
16.07.2024;Stefan;20.0;32.0;First Fruit
31.07.2024;Stefan;15.0;35.0;
08.04.2024;Beehome;0.0;0.0;Planted Seeds
12.04.2024;Beehome;0.1;0.1;First Sprouts
03.05.2024;Beehome;7.0;30.0;
17.05.2024;Beehome;19.0;30.0;
20.05.2024;Beehome;23.0;30.0;
03.06.2024;Beehome;50.0;30.0;
10.06.2024;Beehome;69.0;48.0;
14.06.2024;Beehome;70.0;30.0;Dpne
25.06.2024;Beehome;70.0;30.0;Mustard seeds appeared
03.07.2024;Beehome;76.0;30.0;Some plants are already dying but others are freshly growing
16.07.2024;Beehome;51.0;30.0;Most plants have already died, mostly natural I think
31.07.2024;Beehome;24.0;30.0;most flowers have wilted already
15.08.2024;Beehome;29.0;62.0;
14.04.2024;Brock;0.0;0.0;Planted Seeds
18.04.2024;Brock;0.1;0.1;First Sprouts
22.04.2024;Brock;11.0;2.0;Repotted
03.05.2024;Brock;3.0;8.0;
24.05.2024;Brock;7.0;2.0;
04.06.2024;Brock;12.0;6.0;
10.06.2024;Brock;6.0;15.0;
14.06.2024;Brock;13.0;13.0;
25.06.2024;Brock;20.0;22.0;Probably needs repotting soon
03.07.2024;Brock;20.0;25.0;Might have grown too slow for fruiting
16.07.2024;Brock;24.0;20.0;Has been attacked by snails
31.07.2024;Brock;30.0;33.0;
08.04.2024;Cerberus;8.0;8.0;
03.05.2024;Cerberus;7.0;11.0;
20.05.2024;Cerberus;8.5;7.5;
04.06.2024;Cerberus;9.0;6.5;
