plant;date;height_cm;width_cm;note;health
Stefan;07.04.2024;7.0;8.0;;3
Stefan;07.04.2024;7.0;8.0;;3
Lucy;07.04.2024;6.0;4.0;;3
Sandy;07.04.2024;7.0;4.0;;3
Beehome;08.04.2024;0.0;0.0;Planted Seeds;3
Cerberus;08.04.2024;8.0;8.0;;3
Elvis;08.04.2024;10.0;20.0;;3
Findus;08.04.2024;70.0;40.0;;3
Kevin;08.04.2024;28.0;10.0;;3
Liliana;08.04.2024;24.0;15.0;;3
Maria;08.04.2024;2.0;2.0;;3
Nadja;08.04.2024;10.0;5.0;;3
Pepe;08.04.2024;6.5;4.0;;3
Peppa;08.04.2024;4.0;10.0;;3
Rosy;08.04.2024;45.0;40.0;;3
Beehome;12.04.2024;0.1;0.1;First Sprouts;3
Brock;14.04.2024;0.0;0.0;Planted Seeds;3
Elvis;14.04.2024;10.0;30.0;;3
Eva Longoria;14.04.2024;60.0;30.0;;3
Jerry;14.04.2024;7.0;4.0;;3
Kelly;14.04.2024;0.0;0.0;Planted Seeds;3
Kevin;14.04.2024;30.0;12.0;;3
Lucy;14.04.2024;8.0;4.0;;3
Sandy;14.04.2024;9.0;4.0;;3
Maria;14.04.2024;2.5;2.0;;3
Nadja;14.04.2024;12.0;5.0;;3
Pepe;14.04.2024;7.0;4.0;;3
Peppa;14.04.2024;4.0;13.0;;3
Zoey;14.04.2024;0.0;0.0;Planted Seeds;3
Brock;18.04.2024;0.1;0.1;First Sprouts;3
Kelly;18.04.2024;0.1;0.1;First Sprouts;3
Zoey;18.04.2024;0.1;0.1;First Sprouts;3
Brock;22.04.2024;11.0;2.0;Repotted;3
Kelly;22.04.2024;10.0;1.0;Repotted;3
Zoey;22.04.2024;10.0;1.0;Repotted;3
Stefan;24.04.2024;10.0;8.0;;3
Eva Longoria;24.04.2024;20.0;15.0;Repotted and added stem;3
Lucy;24.04.2024;11.0;9.0;;3
Sandy;24.04.2024;9.0;8.0;;3
Nadja;24.04.2024;15.0;5.0;;3
Stefan;03.05.2024;11.0;11.0;;3
Beehome;03.05.2024;7.0;30.0;;3
Brock;03.05.2024;3.0;8.0;;3
Cerberus;03.05.2024;7.0;11.0;;3
Elvis;03.05.2024;12.0;32.0;;3
Eva Longoria;03.05.2024;78.0;35.0;;3
Findus;03.05.2024;70.0;40.0;;3
Jerry;03.05.2024;11.0;10.0;;3
Kelly;03.05.2024;12.0;1.0;;3
Kevin;03.05.2024;23.0;25.0;;3
Liliana;03.05.2024;21.0;28.0;;3
Maria;03.05.2024;2.0;1.0;;3
Pepe;03.05.2024;7.0;4.0;;3
Peppa;03.05.2024;5.0;26.0;;3
Rosy;03.05.2024;35.0;35.0;;3
Zoey;03.05.2024;18.0;8.0;;3
Chrom;03.05.2024;15.0;5.0;;3
Zane;03.05.2024;7.0;5.0;;3
Ivan;03.05.2024;8.0;5.0;;3
Tom;03.05.2024;11.0;8.0;;3
Terry;03.05.2024;5.0;9.0;;3
Martha;03.05.2024;13.0;17.0;;3
Klaus;03.05.2024;15.0;5.0;;3
Darryl;05.05.2024;33.0;10.0;;3
Hella;05.05.2024;32.0;28.0;;3
Dirk;05.05.2024;3.0;1.0;;3
Mike;06.05.2024;22.0;10.0;Added during plant creation;3
Biggie;06.05.2024;9.0;14.0;Added during plant creation;3
